id,Label,Tipo,Asignatura,Unidad,Semestre,Competencia,Nivel_Dominio_formativo,Ciclo_formativo,Nivel_Logro_Aprendizaje,Linea_formativa
1,- Definición de política pública y social.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
2,- Rol del Estado y políticas sociales.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
3,- Modelos de Desarrollo y Modelos de Bienestar.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
4,- Estrategias de intervención del Estado relacionando el Modelo Economico con la politica social.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
5,- Del Estado protector al Estado subsidiario.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
6,- El Estado en la elaboración de políticas públicas y sociales,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
7,RA_133_U1.1: Identificar el concepto y rol del Estado en la formulacion de politicas publicas y sociales en Chile.,R_A,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
8,- Enfoque y perspectivas teóricas de las politicas sociales.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
9,- Equidad e Igualdad como principios orientadores.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
10,- Análisis Rol del Estado frente a la pobreza: política pública y política social: Modelos de desarrollo y Modelos de bienestar.,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
11,- El ciclo de las politicas sociales,Contenido,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
12,RA_133_U1.2 Diferenciar los enfoques teóricos y conceptuales que inspiran la formulación e implementación de políticas públicas y sociales.,R_A,TSO-133,1,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
13,- Definición de problemas sociales.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
14,- Manifestacion de problemas sociales a fines del siglo XX y principios del XXI en Chile.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
15,- Desigualdad y globalizacion como gestor de problemas sociales.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
16,- Relacionar los problemas sociales en Chile mas relevantes con estrategias de solucion,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
17,RA_133_U2.1: Distinguir concepto y contexto de los problemas sociales y su evolucion en Chile.,R_A,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
18,- Planes programas y proyectos.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
19,- Plan de reduccion de la pobreza en los ultimos 30 anos en Chile.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
20,- El sector privado y la responsabilidad social empresarial la sociedad civil y su participacion en soluciones concretas.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
21,- El problema de la centralizacion del poder politico y economico en Chile: El escaso rol de los gobiernos locales en el diseno de politicas sociales en Chile.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
22,- Informe PNUD 2016 la identidad cultural chilena: ¿Sueños de Pais? La percepcion de exclusion de un gran porcentaje de chilenos.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
23,- Procesos de solucion a problemas sociales guiados por la politica social.,Contenido,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
24,RA_133_U2.2: Vincular planes programas y proyectos que constituyen las politicas sociales en Chile.,R_A,TSO-133,2,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
25,- Politicas sociales enfocadas en el consumidor. Trabajo precario y endeudamiento.,Contenido,TSO-133,3,3,4,Intermedio,Basico,N3-Aplicar,Politicas Sociales
